url,_id,Datetime,tweetId,content,userId,username,retweetCount,media,renderedContent,likeCount,lang,source,sourceLabel,mentionedUsers,coordinates,place,outlinks,inReplyToTweetId,inReplyToUser,hashtags,cashtags
https://twitter.com/AndrePitre_LUX/status/1618024539858034689,63d272084416ea26bb4a748d,2023-01-24 23:14:46,1618024539858034689,"ÇA PASSE OU ÇA CASSE avec Gilbert Thibodeau dès 19h.  Ce soir, Gilbert parle du WEF et de McKinsey qui coûte pas mal cher!

youtu.be/SadS5A43jbc",2824710679,AndrePitre_LUX,6,[],"ÇA PASSE OU ÇA CASSE avec Gilbert Thibodeau dès 19h.  Ce soir, Gilbert parle du WEF et de McKinsey qui coûte pas mal cher!

youtu.be/SadS5A43jbc",12,fr,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Twitter Web App,[],[],[],"[{'text': 'youtu.be/SadS5A43jbc', 'url': 'https://youtu.be/SadS5A43jbc', 'tcourl': 'https://t.co/MAzgn8Rruu', 'indices': [124, 147]}]",,[],,
https://twitter.com/AndrePitre_LUX/status/1617994741597245440,63d272084416ea26bb4a748e,2023-01-24 21:16:21,1617994741597245440,"@KopiLuwakTalks On doit pas parler du même Yann Roshdy.  Le nôtre est tendre, doux et inclusif.",2824710679,AndrePitre_LUX,0,[],"@KopiLuwakTalks On doit pas parler du même Yann Roshdy.  Le nôtre est tendre, doux et inclusif.",2,fr,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Twitter Web App,"[{'username': 'KopiLuwakTalks', 'id': 1491861099729276935, 'displayname': 'Kopi Luwak Talks'}]",[],[],[],1.6179245240786657e+18,"[{'username': 'KopiLuwakTalks', 'id': 1491861099729276935, 'displayname': 'Kopi Luwak Talks', 'rawDescription': None, 'renderedDescription': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'protected': None}]",,
https://twitter.com/AndrePitre_LUX/status/1617909413549068289,63d272084416ea26bb4a748f,2023-01-24 15:37:18,1617909413549068289,"Je serai en direct à 13h30 avec Yann Roshdy pour notre émission MÉTÉO COVIDIENNE.  Beaucoup de bonnes nouvelles aujourd'hui, surtout si t'es pur-sang.

luxmedia.info/emissions/mete… https://t.co/vRoss68giZ",2824710679,AndrePitre_LUX,3,['https://pbs.twimg.com/media/FnP38QDWYAYFy60?format=jpg&name=large'],"Je serai en direct à 13h30 avec Yann Roshdy pour notre émission MÉTÉO COVIDIENNE.  Beaucoup de bonnes nouvelles aujourd'hui, surtout si t'es pur-sang.

luxmedia.info/emissions/mete… https://t.co/vRoss68giZ",23,fr,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Twitter Web App,[],[],[],"[{'text': 'luxmedia.info/emissions/mete…', 'url': 'https://luxmedia.info/emissions/meteo-covidienne-24-01-2023-quand-les-vaccines-se-reveillent', 'tcourl': 'https://t.co/W9b3btVxLn', 'indices': [152, 175]}]",,[],,
https://twitter.com/AndrePitre_LUX/status/1617886954523332612,63d272084416ea26bb4a7490,2023-01-24 14:08:03,1617886954523332612,"Je serai en direct avec Yann Roshdy à midi pour notre émission de réinformation.  Aujourd'hui: le Canada pris pour ""rapatrier"" ""Jihad Jack""; le WEF menace Elon Musk (ils exigent la censure sur Twitter).

luxmedia.info/emissions/rein… https://t.co/Tq4IyFCfnG",2824710679,AndrePitre_LUX,4,['https://pbs.twimg.com/media/FnPjglXakAM4vKI?format=jpg&name=large'],"Je serai en direct avec Yann Roshdy à midi pour notre émission de réinformation.  Aujourd'hui: le Canada pris pour ""rapatrier"" ""Jihad Jack""; le WEF menace Elon Musk (ils exigent la censure sur Twitter).

luxmedia.info/emissions/rein… https://t.co/Tq4IyFCfnG",12,fr,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Twitter Web App,[],[],[],"[{'text': 'luxmedia.info/emissions/rein…', 'url': 'https://luxmedia.info/emissions/reinformation-24-1-2023-jihad-jack-arrive-au-canada-le-wef-menace-elon-musk', 'tcourl': 'https://t.co/3KNC4gaPdJ', 'indices': [204, 227]}]",,[],,
https://twitter.com/AndrePitre_LUX/status/1617868750459658240,63d272084416ea26bb4a7491,2023-01-24 12:55:43,1617868750459658240,@thetenderforlaw I'm still right here,2824710679,AndrePitre_LUX,0,[],@thetenderforlaw I'm still right here,0,en,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Twitter Web App,"[{'username': 'thetenderforlaw', 'id': 2939525758, 'displayname': 'The TENDER FOR LAW'}]",[],[],[],1.6178454430520648e+18,"[{'username': 'thetenderforlaw', 'id': 2939525758, 'displayname': 'The TENDER FOR LAW', 'rawDescription': None, 'renderedDescription': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'protected': None}]",,
https://twitter.com/AndrePitre_LUX/status/1617868493281714181,63d272084416ea26bb4a7492,2023-01-24 12:54:41,1617868493281714181,#ScottIsAlwaysRight,2824710679,AndrePitre_LUX,1,[],#ScottIsAlwaysRight,2,qht,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Twitter Web App,[],[],[],[],,[],['ScottIsAlwaysRight'],
https://twitter.com/AndrePitre_LUX/status/1617868154465812480,63d272084416ea26bb4a7493,2023-01-24 12:53:21,1617868154465812480,@ArloJp c'est une merveille,2824710679,AndrePitre_LUX,0,[],@ArloJp c'est une merveille,1,fr,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Twitter Web App,"[{'username': 'ArloJp', 'id': 1313675657017204736, 'displayname': 'Arlo Jp'}]",[],[],[],1.6178518459632886e+18,"[{'username': 'ArloJp', 'id': 1313675657017204736, 'displayname': 'Arlo Jp', 'rawDescription': None, 'renderedDescription': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'protected': None}]",,
https://twitter.com/AndrePitre_LUX/status/1617867974014271488,63d272084416ea26bb4a7494,2023-01-24 12:52:38,1617867974014271488,@Truth69Truther @FLagauloise Je veux juste être là quand tu auras le guts de lui dire en pleine face.,2824710679,AndrePitre_LUX,0,[],@Truth69Truther @FLagauloise Je veux juste être là quand tu auras le guts de lui dire en pleine face.,1,fr,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Twitter Web App,"[{'username': 'Truth69Truther', 'id': 1260965927987920897, 'displayname': 'Truther'}, {'username': 'FLagauloise', 'id': 1484396775452594177, 'displayname': 'Falbala Lagauloise'}]",[],[],[],1.6156147112901222e+18,"[{'username': 'Truth69Truther', 'id': 1260965927987920897, 'displayname': 'Truther', 'rawDescription': None, 'renderedDescription': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'protected': None}]",,
https://twitter.com/AndrePitre_LUX/status/1617605679165882373,63d272084416ea26bb4a7495,2023-01-23 19:30:22,1617605679165882373,"Caroline Mailloux sera en direct dans 30 minutes pour une émission spéciale sur la fibromyalgie et la fatigue chronique.

luxmedia.info/emissions/caro… https://t.co/fViha5MT2p",2824710679,AndrePitre_LUX,5,['https://pbs.twimg.com/media/FnLjs3FXEAU-d4x?format=jpg&name=large'],"Caroline Mailloux sera en direct dans 30 minutes pour une émission spéciale sur la fibromyalgie et la fatigue chronique.

luxmedia.info/emissions/caro… https://t.co/fViha5MT2p",11,fr,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Twitter Web App,[],[],[],"[{'text': 'luxmedia.info/emissions/caro…', 'url': 'https://luxmedia.info/emissions/caroline-mailloux-fibromyalgie-et-fatigue-chronique-un-reel-espoir-de-guerir', 'tcourl': 'https://t.co/eLEMgwwRBZ', 'indices': [122, 145]}]",,[],,
https://twitter.com/AndrePitre_LUX/status/1617533660718333958,63d272084416ea26bb4a7496,2023-01-23 14:44:11,1617533660718333958,"Je serai en direct à MIDI pour mon émission de réinformation.  Les fausses prophéties d'Al Gore vs la nouvelle prophétie de L'Oracle Covid; les affrontements entre policiers et antifas se poursuivent à Atlanta; des victimes du venin se soulèvent à Londre.

luxmedia.info/emissions/rein… https://t.co/LOysxnjk9H",2824710679,AndrePitre_LUX,7,['https://pbs.twimg.com/media/FnKiNJWX0AI-sBi?format=jpg&name=large'],"Je serai en direct à MIDI pour mon émission de réinformation.  Les fausses prophéties d'Al Gore vs la nouvelle prophétie de L'Oracle Covid; les affrontements entre policiers et antifas se poursuivent à Atlanta; des victimes du venin se soulèvent à Londre.

luxmedia.info/emissions/rein… https://t.co/LOysxnjk9H",15,fr,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Twitter Web App,[],[],[],"[{'text': 'luxmedia.info/emissions/rein…', 'url': 'https://luxmedia.info/emissions/reinformation-23-01-2023-des-victimes-du-venin-se-soulevent-a-londre-les-fausse-propheties-d-al-gore', 'tcourl': 'https://t.co/uRQZwpTJvf', 'indices': [257, 280]}]",,[],,
